algorithm,dataset,theta,lambda,indexing,time,entries,candidates,similarities,matches
MiniBatch,w6a.t,0.5,0.1,INV,1224,1312302,236559,236559,26779
MiniBatch,w6a.t,0.6,1.0E-4,INV,16815,303773246,99197890,99197890,240898
MiniBatch,w6a.t,0.6,0.001,INV,2333,46400246,13864447,13864447,114379
MiniBatch,w6a.t,0.6,0.01,INV,1024,6398427,1570727,1570727,68663
MiniBatch,w6a.t,0.6,0.1,INV,721,998130,174106,174106,15143
MiniBatch,w6a.t,0.7,1.0E-4,INV,8776,227361526,73755352,73755352,102164
MiniBatch,w6a.t,0.7,0.001,INV,1830,33840816,9941301,9941301,64616
MiniBatch,w6a.t,0.7,0.01,INV,961,4842270,1123440,1123440,40484
MiniBatch,w6a.t,0.7,0.1,INV,688,707699,119301,119301,7566
MiniBatch,w6a.t,0.8,1.0E-4,INV,6413,158487442,50433709,50433709,48367
MiniBatch,w6a.t,0.8,0.001,INV,1359,22358196,6383666,6383666,37056
MiniBatch,w6a.t,0.8,0.01,INV,832,3406661,725742,725742,21936
MiniBatch,w6a.t,0.8,0.1,INV,659,441428,71834,71834,3621
MiniBatch,w6a.t,0.99,1.0E-4,INV,913,11152998,2979624,2979624,13371
MiniBatch,w6a.t,0.99,0.001,INV,598,1805219,340640,340640,7757
MiniBatch,w6a.t,0.99,0.01,INV,640,167403,25909,25909,1497
MiniBatch,w6a.t,0.99,0.1,INV,504,0,0,0,0
MiniBatch,w6a.t,0.9,1.0E-4,INV,3308,86228912,26726175,26726175,24005
MiniBatch,w6a.t,0.9,0.001,INV,957,11616849,3118449,3118449,19681
MiniBatch,w6a.t,0.9,0.01,INV,661,1878123,356164,356164,9620
MiniBatch,w6a.t,0.9,0.1,INV,613,181266,28232,28232,1497
